true_member,predicted_member,attack_score,true_class
1,0,0.260516,4
1,1,0.586959,7
1,0,0.498931,8
1,0,0.466619,9
1,0,0.400274,4
1,1,0.560893,9
1,1,0.546749,8
1,1,0.619879,4
1,1,0.534945,3
1,1,0.573131,7
1,1,0.604601,2
1,1,0.570814,3
1,1,0.593242,3
1,0,0.492453,7
1,0,0.454148,1
1,1,0.550127,6
1,0,0.355379,1
1,1,0.556223,6
1,0,0.485124,5
1,1,0.584945,3
1,1,0.571618,8
1,1,0.566936,3
1,1,0.653484,3
1,1,0.594939,3
1,1,0.700197,2
1,0,0.047178,0
1,1,0.574456,7
1,1,0.555436,9
1,0,0.441326,1
1,0,0.487487,2
1,0,0.011206,7
1,1,0.585726,0
1,1,0.591189,3
1,0,0.401320,0
1,1,0.542422,2
1,1,0.553526,0
1,1,0.558156,1
1,0,0.442728,6
1,1,0.636486,5
1,1,0.579814,7
1,1,0.600340,2
1,1,0.540841,9
1,0,0.380623,5
1,0,0.484173,6
1,0,0.327074,2
1,0,0.199061,3
1,1,0.574018,7
1,0,0.321087,2
1,1,0.569478,8
1,1,0.561714,7
1,1,0.545063,3
1,0,0.319510,5
1,1,0.623539,2
1,1,0.572115,7
1,0,0.401956,5
1,0,0.485332,3
1,0,0.487787,9
1,1,0.600203,2
1,1,0.521194,1
1,1,0.594358,7
1,0,0.492511,1
1,1,0.561101,9
1,1,0.560278,1
1,1,0.609917,3
1,1,0.573182,7
1,1,0.583674,7
1,1,0.551349,0
1,0,0.283299,3
1,1,0.560729,9
1,1,0.503552,7
1,1,0.571496,8
1,1,0.517574,4
1,0,0.394578,6
1,1,0.565176,8
1,0,0.322683,6
1,1,0.572581,0
1,1,0.569504,3
1,1,0.570102,8
1,1,0.524151,4
1,1,0.547734,6
1,1,0.505976,3
1,0,0.442476,4
1,1,0.574631,7
1,1,0.560350,9
1,1,0.547642,6
1,1,0.569493,8
1,1,0.557046,9
1,1,0.558106,9
1,0,0.483538,7
1,1,0.571841,8
1,1,0.577716,7
1,1,0.561217,4
1,1,0.573510,5
1,1,0.543731,3
1,1,0.555441,9
1,1,0.517877,5
1,0,0.242085,2
1,1,0.584989,7
1,1,0.637277,5
1,1,0.561432,9
1,0,0.124327,5
1,1,0.560879,1
1,1,0.572537,8
1,1,0.563905,7
1,1,0.569103,8
1,1,0.596978,7
1,1,0.559769,8
1,1,0.558589,6
1,0,0.345740,3
1,0,0.472842,6
1,1,0.584713,2
1,1,0.539283,0
1,1,0.680192,2
1,1,0.543889,9
1,1,0.691837,3
1,1,0.537348,3
1,1,0.594003,3
1,1,0.568490,8
1,0,0.246283,7
1,0,0.374812,3
1,1,0.562630,1
1,0,0.495301,4
1,1,0.562331,1
1,1,0.563600,0
1,0,0.464353,5
1,1,0.565350,8
1,1,0.510369,9
1,1,0.604959,3
1,1,0.556952,6
1,1,0.559251,9
1,0,0.372494,4
1,1,0.552579,9
1,1,0.555364,6
1,1,0.556651,1
1,1,0.528981,4
1,1,0.556115,6
1,0,0.478779,2
1,0,0.352895,4
1,1,0.604535,0
1,1,0.571469,8
1,1,0.573378,7
1,1,0.617722,4
1,0,0.347073,1
1,0,0.477440,4
1,0,0.284478,3
1,1,0.507307,3
1,1,0.571860,8
1,0,0.447732,1
1,0,0.248104,0
1,1,0.560558,9
1,1,0.503179,4
1,0,0.474560,1
1,1,0.573398,7
1,1,0.546660,6
1,1,0.587452,0
1,1,0.558114,1
1,0,0.492366,2
1,1,0.573702,7
1,1,0.571550,8
1,1,0.568170,0
1,0,0.386800,4
1,0,0.421824,5
1,1,0.571782,8
1,0,0.412285,4
1,0,0.239750,3
1,1,0.570528,8
1,0,0.214045,5
1,1,0.571672,7
1,0,0.478654,0
1,0,0.457796,1
1,1,0.570207,8
1,1,0.564776,1
1,1,0.601669,4
1,1,0.553959,6
1,1,0.569323,0
1,1,0.588414,7
1,1,0.537916,0
1,0,0.177763,8
1,0,0.222558,5
1,1,0.554132,3
1,1,0.562185,3
1,1,0.637308,5
1,1,0.505792,4
1,1,0.566441,8
1,0,0.444710,5
1,1,0.708615,3
1,1,0.573424,2
1,1,0.567873,3
1,1,0.563443,1
1,0,0.245233,8
1,1,0.636214,5
1,1,0.571501,8
1,1,0.571667,8
1,0,0.416888,5
1,1,0.572625,7
1,1,0.570266,9
1,0,0.083328,0
1,1,0.571026,8
1,1,0.563231,5
1,0,0.436578,3
1,1,0.562986,1
1,0,0.375247,7
1,1,0.551352,5
1,0,0.348372,9
1,0,0.240899,5
1,0,0.226519,7
1,1,0.577099,7
1,1,0.573559,2
1,1,0.561694,9
1,1,0.569313,9
1,0,0.245551,5
1,1,0.526659,9
1,1,0.623811,3
1,0,0.332151,6
1,0,0.497747,5
1,1,0.565209,0
1,1,0.533038,3
1,0,0.227529,2
1,0,0.437174,4
1,1,0.634985,5
1,1,0.509918,7
1,1,0.550907,6
1,1,0.541916,6
1,0,0.258401,9
1,0,0.447772,1
1,1,0.561090,9
1,0,0.336733,0
1,1,0.556493,9
1,1,0.572794,7
1,1,0.551234,6
1,1,0.538144,8
1,1,0.566184,7
1,1,0.571172,7
1,1,0.545932,9
1,1,0.584574,2
1,1,0.571821,8
1,1,0.608535,5
1,0,0.389815,5
1,1,0.506531,4
1,1,0.535857,2
1,1,0.627945,5
1,1,0.526837,4
1,1,0.551023,9
1,1,0.506193,9
1,1,0.591558,4
1,0,0.474535,4
1,0,0.346139,0
1,1,0.580083,7
1,1,0.510245,0
1,0,0.493732,0
1,0,0.338909,1
1,1,0.561152,9
1,0,0.482913,5
1,0,0.496319,4
1,1,0.584629,4
1,1,0.554519,9
1,1,0.560509,9
1,1,0.554071,5
1,1,0.533954,9
1,1,0.578017,7
1,1,0.563376,1
1,1,0.595362,7
1,1,0.627176,5
1,1,0.560573,9
1,1,0.702674,3
1,1,0.534406,4
1,1,0.559908,6
1,1,0.571767,8
1,1,0.586310,3
1,1,0.561268,8
1,1,0.558034,9
1,1,0.563452,0
1,1,0.579035,5
1,1,0.561452,9
1,1,0.622997,5
1,1,0.553333,6
1,0,0.467779,1
1,1,0.525601,2
1,1,0.551926,9
1,0,0.337915,5
1,0,0.418688,4
1,0,0.320188,6
1,1,0.576856,3
1,0,0.490709,6
1,1,0.543604,2
1,1,0.547142,6
1,1,0.523543,5
1,1,0.570816,8
1,0,0.426011,5
1,0,0.256500,3
1,1,0.561259,1
1,1,0.569177,5
1,1,0.601866,2
1,1,0.561668,8
1,1,0.545450,1
1,1,0.560993,9
1,1,0.620155,2
1,1,0.531581,4
1,0,0.394928,4
1,1,0.595841,7
1,1,0.577053,7
1,1,0.618853,5
1,1,0.563935,0
1,0,0.302473,8
1,1,0.585063,3
1,1,0.561329,9
1,1,0.537374,1
1,1,0.567138,1
1,0,0.405947,2
1,1,0.536108,0
1,1,0.641651,3
1,1,0.589893,4
1,1,0.536592,9
1,1,0.583283,4
1,1,0.558491,8
1,1,0.551522,6
1,1,0.563822,1
1,1,0.573301,7
1,0,0.474496,5
1,1,0.580008,5
1,1,0.535008,1
1,1,0.544130,9
1,1,0.564811,7
1,1,0.571735,8
1,1,0.691011,2
1,0,0.347227,4
1,1,0.607066,7
1,1,0.548005,6
1,0,0.490882,4
1,1,0.576513,7
1,1,0.573391,7
1,1,0.572543,7
1,1,0.599015,4
1,1,0.590243,7
1,1,0.501220,6
1,0,0.399842,3
1,1,0.556424,9
1,1,0.570303,3
1,1,0.613865,5
1,0,0.375924,2
1,0,0.323992,3
1,0,0.121443,6
1,1,0.574318,2
1,1,0.566830,1
1,1,0.559164,9
1,0,0.246190,2
1,1,0.536621,8
1,1,0.656869,3
1,1,0.588582,2
1,1,0.557670,1
1,1,0.557927,1
1,1,0.564186,0
1,1,0.650997,3
1,1,0.628693,5
1,1,0.558918,9
1,1,0.631686,2
1,1,0.520969,5
1,0,0.432775,5
1,1,0.544111,1
1,1,0.511533,4
1,1,0.556383,6
1,1,0.551330,8
1,1,0.559460,7
1,0,0.433485,2
1,1,0.527211,5
1,0,0.299996,2
1,1,0.562748,2
1,0,0.495767,1
1,1,0.515031,5
1,1,0.590990,2
1,1,0.538209,5
1,1,0.599626,5
1,1,0.571862,7
1,1,0.514288,9
1,1,0.570495,8
1,1,0.561529,9
1,0,0.048931,5
1,1,0.581074,0
1,0,0.297741,4
1,1,0.573029,7
1,1,0.517761,1
1,1,0.568664,0
1,1,0.565954,1
1,1,0.626343,3
1,0,0.477122,1
1,1,0.549449,6
1,0,0.397288,1
1,0,0.465770,6
1,1,0.569063,8
1,1,0.554936,8
1,1,0.559004,1
1,1,0.553276,8
1,1,0.524021,4
1,1,0.551566,6
1,1,0.569223,5
1,0,0.475277,5
1,1,0.575351,0
1,1,0.684203,2
1,1,0.623270,5
1,0,0.465687,1
1,1,0.563739,0
1,1,0.577189,7
1,1,0.556793,8
1,1,0.561378,2
1,0,0.353430,6
1,1,0.605835,5
1,0,0.383516,6
1,1,0.561319,8
1,1,0.556133,2
1,0,0.224456,9
1,1,0.562708,9
1,1,0.561183,1
1,1,0.534175,2
1,1,0.572166,0
1,1,0.587706,5
1,0,0.197214,0
1,0,0.351439,8
1,1,0.557504,9
1,1,0.565964,2
1,1,0.510279,5
1,1,0.689429,3
1,1,0.570624,8
1,1,0.569058,7
1,1,0.547103,6
1,0,0.468434,7
1,1,0.500103,8
1,1,0.636312,5
1,1,0.549273,6
1,1,0.609921,5
1,1,0.601344,2
1,1,0.572598,7
1,1,0.565891,1
1,0,0.428303,1
1,1,0.558553,9
1,0,0.464705,5
1,1,0.571744,8
1,1,0.569902,7
1,1,0.589622,0
1,1,0.611864,2
1,1,0.528420,9
1,0,0.367878,6
1,1,0.572846,7
1,1,0.570161,3
1,1,0.501033,3
1,1,0.564731,7
1,1,0.657080,3
1,1,0.590582,2
1,1,0.573043,7
1,1,0.523645,2
1,1,0.651528,3
1,1,0.617545,5
1,1,0.631605,5
1,1,0.540507,3
1,1,0.525674,1
1,1,0.626009,5
1,1,0.587068,2
1,1,0.583360,2
1,1,0.556867,4
1,1,0.569927,8
1,0,0.059712,7
1,1,0.529779,5
1,0,0.327294,4
1,1,0.595851,2
1,1,0.565850,9
1,1,0.570446,8
1,1,0.537831,4
1,1,0.562814,1
1,0,0.371810,5
1,1,0.617535,0
1,1,0.536659,3
1,1,0.588581,2
1,1,0.547545,1
1,1,0.591309,2
1,0,0.343016,0
1,1,0.583307,7
1,1,0.564676,1
1,0,0.243221,0
1,1,0.534057,0
1,1,0.562140,3
1,1,0.571482,0
1,1,0.581242,7
1,0,0.150207,0
1,1,0.634499,5
1,0,0.482819,1
1,0,0.432588,9
1,1,0.551155,7
1,0,0.402045,1
1,1,0.581025,2
1,0,0.419654,1
1,1,0.592270,0
1,1,0.587588,7
1,1,0.569060,7
1,0,0.259059,9
1,1,0.555994,6
1,1,0.624406,4
1,1,0.546418,6
1,0,0.418414,3
1,1,0.625381,7
1,1,0.565760,1
1,0,0.467916,6
1,1,0.559438,2
1,1,0.525681,2
1,1,0.516644,3
1,0,0.480989,3
1,1,0.559659,9
1,0,0.492314,9
1,1,0.632780,5
1,0,0.266102,6
1,1,0.555366,0
1,1,0.562347,0
1,1,0.533778,8
1,1,0.553136,1
1,1,0.564131,3
1,0,0.113791,5
1,1,0.556159,1
1,1,0.602354,4
1,1,0.568307,8
1,1,0.537496,9
1,1,0.562347,0
1,0,0.496831,1
1,1,0.500885,6
1,1,0.529856,7
1,1,0.509385,9
1,0,0.345621,9
1,1,0.558326,9
1,0,0.385877,5
1,1,0.596874,2
1,1,0.580540,0
1,1,0.538492,9
1,0,0.396022,1
1,1,0.567675,9
1,1,0.629088,3
1,1,0.560362,9
1,1,0.554375,9
1,0,0.105720,4
1,1,0.555548,8
1,1,0.614377,0
1,1,0.571021,8
1,1,0.587782,2
1,0,0.329453,3
1,1,0.546380,6
1,1,0.535685,0
1,1,0.573820,7
1,1,0.555572,4
1,0,0.484139,3
1,0,0.472275,2
1,0,0.472533,4
1,1,0.583640,4
1,1,0.573407,7
1,1,0.564778,8
1,0,0.169194,3
1,1,0.585173,2
1,1,0.611051,4
1,1,0.547017,6
1,0,0.467293,0
1,1,0.557637,6
1,0,0.483148,2
1,1,0.562576,1
1,1,0.539834,9
1,1,0.554235,6
1,1,0.638863,3
1,1,0.674990,3
1,1,0.631251,5
1,1,0.612650,0
1,1,0.613458,4
1,1,0.559425,9
1,0,0.467895,2
1,1,0.555968,6
1,0,0.486133,3
1,1,0.618160,4
1,1,0.565284,1
1,1,0.544903,3
1,1,0.565164,9
1,1,0.564842,1
1,1,0.534681,5
1,1,0.562247,6
1,0,0.395711,7
1,1,0.572641,0
1,1,0.546986,9
1,1,0.535310,5
1,1,0.580416,7
1,1,0.554567,6
1,1,0.546757,6
1,1,0.582280,2
1,1,0.569508,0
1,1,0.511507,0
1,1,0.547844,6
1,1,0.571710,8
1,1,0.615404,2
1,1,0.558206,1
1,1,0.555654,1
1,0,0.292656,0
1,1,0.520503,2
1,1,0.575650,8
1,1,0.571910,9
1,1,0.534745,1
1,1,0.557605,6
1,1,0.550003,6
1,0,0.269562,7
1,0,0.378560,6
1,1,0.562881,1
1,1,0.576739,7
1,1,0.569982,9
1,0,0.193816,9
1,1,0.547905,9
1,1,0.550811,5
1,1,0.569950,8
1,1,0.564404,1
1,1,0.612916,3
1,0,0.330259,4
1,1,0.559641,1
1,0,0.335553,1
1,1,0.528422,9
1,1,0.584678,5
1,1,0.604847,3
1,1,0.573395,7
1,1,0.706092,3
1,1,0.558592,1
1,1,0.571577,5
1,0,0.325320,4
1,1,0.524541,9
1,1,0.570556,0
1,1,0.549207,6
1,1,0.601858,2
1,0,0.472418,0
1,0,0.385809,3
1,0,0.482261,9
1,1,0.555792,6
1,0,0.149848,0
1,0,0.435170,9
1,0,0.391153,1
1,1,0.571090,7
1,1,0.572160,0
1,1,0.632528,5
1,0,0.456463,3
1,0,0.238933,4
1,1,0.563579,0
1,1,0.519095,3
1,1,0.580579,4
1,0,0.280042,3
1,1,0.549096,6
1,1,0.628902,5
1,1,0.594639,7
1,1,0.624566,5
1,1,0.557080,1
1,1,0.573380,7
1,1,0.621625,2
1,1,0.546562,6
1,0,0.446714,5
1,0,0.258354,3
1,1,0.562438,3
1,1,0.561121,9
1,1,0.561221,9
1,1,0.568332,8
1,0,0.139442,5
1,1,0.575471,2
1,1,0.567849,7
1,1,0.624051,5
1,1,0.523696,0
1,1,0.556621,1
1,1,0.518786,5
1,0,0.099988,9
1,1,0.572898,7
1,1,0.664487,2
1,1,0.581643,2
1,1,0.622259,5
1,1,0.534547,0
1,1,0.597656,2
1,1,0.558402,2
1,1,0.547801,6
1,0,0.286680,2
1,1,0.572636,7
1,1,0.577901,9
1,1,0.575004,0
1,1,0.610191,3
1,0,0.495281,0
1,1,0.561663,9
1,1,0.616613,2
1,1,0.553310,3
1,0,0.473173,4
1,0,0.239002,6
1,1,0.705721,3
1,1,0.563477,1
1,1,0.573002,7
1,0,0.459673,8
1,1,0.564387,1
1,1,0.563613,8
1,1,0.548047,4
1,1,0.564759,2
1,1,0.573105,7
1,1,0.563406,1
1,0,0.325177,6
1,1,0.572635,0
1,0,0.450939,3
1,0,0.338825,1
1,1,0.506940,8
1,1,0.617719,3
1,1,0.595266,0
1,1,0.517916,4
1,0,0.342335,1
1,1,0.548204,0
1,1,0.599398,3
1,0,0.437956,6
1,0,0.366755,9
1,1,0.561195,1
1,1,0.616693,2
1,0,0.434934,0
1,1,0.570741,8
1,1,0.546811,6
1,1,0.563042,7
1,1,0.558142,8
1,1,0.566717,8
1,0,0.438450,2
1,1,0.569589,8
1,1,0.566692,5
1,1,0.551286,9
1,1,0.539989,0
1,1,0.604508,3
1,0,0.251897,2
1,1,0.608341,4
1,1,0.525454,2
1,0,0.394344,1
1,0,0.400272,6
1,1,0.581948,2
1,1,0.547285,4
1,1,0.555444,6
1,1,0.571210,8
1,1,0.534358,4
1,1,0.557053,6
1,1,0.559716,9
1,1,0.582806,7
1,1,0.570402,2
1,1,0.572313,7
1,1,0.624839,4
1,1,0.556125,9
1,0,0.486348,3
1,1,0.566674,1
1,1,0.567982,0
1,1,0.547815,6
1,1,0.546793,0
1,1,0.567067,2
1,1,0.570932,8
1,1,0.523521,8
1,1,0.629688,5
1,1,0.541415,8
1,1,0.572373,9
1,1,0.501151,9
1,0,0.454014,3
1,0,0.248389,3
1,1,0.559745,9
1,0,0.019194,0
1,1,0.556262,1
1,1,0.566779,1
1,1,0.656311,3
1,1,0.542696,7
1,0,0.499290,9
1,1,0.560901,9
1,1,0.530931,5
1,1,0.569991,8
1,1,0.535038,8
1,1,0.638193,2
1,1,0.575215,3
1,1,0.565004,7
1,0,0.318582,2
1,1,0.560010,1
1,0,0.424957,5
1,1,0.610318,0
1,1,0.559376,6
1,1,0.546819,6
1,1,0.541292,8
1,1,0.553400,4
1,1,0.594088,3
1,0,0.496316,1
1,0,0.220163,0
1,1,0.617451,4
1,1,0.564219,7
1,1,0.632683,0
1,1,0.630014,5
1,1,0.555008,6
1,1,0.644790,3
1,1,0.521634,2
1,1,0.669124,3
1,1,0.535796,3
1,1,0.564669,8
1,1,0.600554,7
1,0,0.256621,3
1,1,0.571846,8
1,1,0.622203,4
1,1,0.627450,5
1,1,0.545344,3
1,0,0.450225,4
1,1,0.560371,0
1,1,0.571221,8
1,1,0.541488,3
1,1,0.572636,0
1,1,0.559242,0
1,0,0.415200,4
1,1,0.605617,0
1,1,0.683987,3
1,1,0.591080,0
1,1,0.610390,4
1,1,0.535521,0
1,1,0.546494,6
1,1,0.574456,3
1,1,0.571101,8
1,1,0.553140,1
1,1,0.595528,0
1,1,0.573388,7
1,0,0.367273,4
1,1,0.598372,2
1,1,0.572139,0
1,1,0.585306,7
1,1,0.571170,0
1,0,0.452760,4
1,1,0.550556,9
1,1,0.572502,7
1,0,0.414594,0
1,0,0.309707,5
1,0,0.430025,9
1,0,0.488985,4
1,1,0.564227,1
1,1,0.557108,6
1,1,0.611017,0
1,0,0.482797,5
1,1,0.524219,1
1,1,0.565093,8
1,1,0.671671,3
1,1,0.562405,0
1,1,0.535433,9
1,1,0.508474,4
1,1,0.556737,8
1,1,0.615767,0
1,0,0.382570,6
1,1,0.575486,5
1,1,0.696017,3
1,1,0.528327,0
1,1,0.503355,9
1,0,0.494296,7
1,1,0.635519,5
1,1,0.576954,7
1,1,0.538150,1
1,1,0.574710,7
1,1,0.570110,8
1,1,0.633601,5
1,0,0.223596,1
1,1,0.540352,0
1,1,0.589596,2
1,0,0.475417,5
1,1,0.555493,6
1,1,0.576703,5
1,0,0.450308,6
1,1,0.590533,7
1,1,0.561789,1
1,1,0.551199,6
1,1,0.557215,2
1,1,0.561079,1
1,1,0.571775,8
1,1,0.548220,6
1,0,0.292240,0
1,0,0.416790,4
1,1,0.565325,1
1,0,0.483628,9
1,1,0.566801,1
1,1,0.554959,1
1,1,0.635408,5
1,1,0.574423,7
1,0,0.107601,3
1,0,0.331532,6
1,1,0.682122,3
1,1,0.606024,0
1,1,0.568032,8
1,0,0.400832,5
1,1,0.554897,5
1,1,0.587343,3
1,1,0.566260,1
1,0,0.365766,2
1,1,0.564827,9
1,1,0.549630,6
1,1,0.530596,8
1,1,0.557463,6
1,1,0.554531,9
1,1,0.564583,8
1,1,0.534858,6
1,0,0.495246,9
1,1,0.632310,5
1,1,0.597014,2
1,0,0.489907,5
1,0,0.417365,9
1,1,0.585818,3
